Mon Sep  2 18:04:27 2024    profiler_stats.prof

         4895102 function calls (4595255 primitive calls) in 5.436 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5120    0.005    0.000    0.209    0.000 win32.py:115(<genexpr>)
     5120    0.202    0.000    0.204    0.000 win32.py:108(_winapi_test)
       23    0.000    0.000    0.204    0.009 lowering.py:286(create_cfunc_wrapper)
       23    0.001    0.000    0.204    0.009 cpu.py:193(create_cfunc_wrapper)
79428/40128    0.029    0.000    0.202    0.000 pprint.py:466(format)
      871    0.037    0.000    0.198    0.000 pprint.py:380(_format_dict_items)
      484    0.001    0.000    0.191    0.000 misc.py:72(literal)
114232/20794    0.121    0.000    0.189    0.000 ir.py:318(_rec_list_vars)
79428/40128    0.069    0.000    0.187    0.000 pprint.py:554(_safe_repr)
      228    0.001    0.000    0.181    0.001 typeinfer.py:704(__call__)
     5120    0.177    0.000    0.179    0.000 win32.py:170(GetConsoleMode)
    24518    0.031    0.000    0.177    0.000 event.py:209(broadcast)
    17819    0.008    0.000    0.170    0.000 ir.py:351(list_vars)
        1    0.000    0.000    0.166    0.166 listobj.py:465(list_constructor)
       38    0.000    0.000    0.158    0.004 typeinfer.py:1041(build_constraint)
      915    0.001    0.000    0.158    0.000 typeinfer.py:1404(constrain_statement)
      755    0.001    0.000    0.157    0.000 typeinfer.py:1473(typeof_assign)
       62    0.003    0.000    0.148    0.002 registry.py:54(apply)
      399    0.000    0.000    0.148    0.000 typeinfer.py:1493(resolve_value_type)
   104668    0.059    0.000    0.143    0.000 event.py:243(notify)
      170    0.001    0.000    0.142    0.001 typeinfer.py:1579(typeof_global)
       52    0.000    0.000    0.141    0.003 codegen.py:732(add_llvm_module)
      312    0.020    0.000    0.138    0.000 analysis.py:23(compute_use_defs)
      147    0.000    0.000    0.133    0.001 module.py:233(__repr__)
   676331    0.107    0.000    0.133    0.000 {built-in method builtins.isinstance}
       52    0.003    0.000    0.132    0.003 codegen.py:651(_optimize_functions)
    12259    0.013    0.000    0.132    0.000 event.py:404(end_event)
        2    0.000    0.000    0.132    0.066 listobj.py:661(in_seq)
    10366    0.008    0.000    0.131    0.000 ffi.py:78(__exit__)
      147    0.001    0.000    0.131    0.001 module.py:207(_get_body_lines)
      467    0.000    0.000    0.125    0.000 values.py:1013(__str__)
      467    0.000    0.000    0.124    0.000 values.py:1006(descr)
    10366    0.005    0.000    0.121    0.000 base.py:1249(exit_fn)
56714/29357    0.040    0.000    0.121    0.000 {method 'format' of 'str' objects}
      284    0.000    0.000    0.121    0.000 postproc.py:42(usedefs)
      238    0.001    0.000    0.118    0.000 lowering.py:1573(_lit_or_omitted)
       34    0.000    0.000    0.111    0.003 untyped_passes.py:1762(run_pass)
       35    0.001    0.000    0.110    0.003 interpreter.py:1361(interpret)
       54    0.000    0.000    0.107    0.002 values.py:999(descr_body)
