Mon Sep  2 18:04:27 2024    profiler_stats.prof

         4895102 function calls (4595255 primitive calls) in 5.436 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1076    0.001    0.000    0.003    0.000 ir_utils.py:1553(get_definition)
       93    0.000    0.000    0.003    0.000 linecache.py:36(getlines)
        2    0.000    0.000    0.003    0.002 pythonapi.py:1437(from_native_return)
     11/2    0.000    0.000    0.003    0.002 pythonapi.py:1444(from_native_value)
     1645    0.002    0.000    0.003    0.000 values.py:1051(__init__)
       58    0.000    0.000    0.003    0.000 itanium_mangler.py:154(mangle_templated_ident)
      296    0.001    0.000    0.003    0.000 values.py:806(descr)
       25    0.000    0.000    0.003    0.000 pythonapi.py:1353(unserialize)
       34    0.000    0.000    0.003    0.000 models.py:612(as_argument)
      405    0.001    0.000    0.003    0.000 typeof.py:41(typeof_impl)
     1422    0.002    0.000    0.003    0.000 ir.py:1550(get_definition)
      758    0.001    0.000    0.003    0.000 bytecode.py:245(next)
        9    0.000    0.000    0.003    0.000 linecache.py:80(updatecache)
        2    0.000    0.000    0.003    0.002 ufunc_base.py:14(__call__)
      296    0.001    0.000    0.003    0.000 values.py:794(__init__)
        1    0.000    0.000    0.003    0.003 boxing.py:601(box_list)
       20    0.000    0.000    0.003    0.000 pythonapi.py:1406(serialize_object)
       33    0.000    0.000    0.003    0.000 transforms.py:529(find_ranges)
      232    0.002    0.000    0.003    0.000 {built-in method builtins.__build_class__}
       89    0.000    0.000    0.003    0.000 callconv.py:838(type_may_always_need_nrt)
      261    0.001    0.000    0.003    0.000 copy.py:61(copy)
      354    0.001    0.000    0.003    0.000 instructions.py:693(__init__)
      396    0.000    0.000    0.003    0.000 <frozen ntpath>:268(basename)
     2560    0.001    0.000    0.003    0.000 compiler_machinery.py:432(get)
      358    0.001    0.000    0.003    0.000 typeinfer.py:1669(typeof_expr)
      772    0.000    0.000    0.003    0.000 builder.py:290(_branch_helper)
     1011    0.001    0.000    0.003    0.000 context.py:499(_lookup_global)
       94    0.000    0.000    0.003    0.000 builder.py:320(if_else)
      194    0.000    0.000    0.003    0.000 numbers.py:1363(constant_integer)
      745    0.002    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
      420    0.001    0.000    0.003    0.000 <frozen ntpath>:236(split)
      152    0.000    0.000    0.003    0.000 interpreter.py:2221(op_LOAD_FAST)
      244    0.000    0.000    0.003    0.000 models.py:651(set)
      256    0.000    0.000    0.003    0.000 inspect.py:3262(bind)
      388    0.000    0.000    0.003    0.000 typeinfer.py:1111(copy_type)
      272    0.000    0.000    0.003    0.000 functools.py:741(is_related)
     2102    0.001    0.000    0.003    0.000 {built-in method builtins.all}
       52    0.000    0.000    0.003    0.000 transforms.py:93(populate)
       27    0.000    0.000    0.003    0.000 module.py:56(__str__)
      131    0.000    0.000    0.003    0.000 templates.py:1020(resolve)
       70    0.000    0.000    0.003    0.000 controlflow.py:263(backbone)
      203    0.001    0.000    0.003    0.000 builder.py:160(wrapped)
       38    0.000    0.000    0.003    0.000 untyped_passes.py:160(run_pass)
      853    0.002    0.000    0.003    0.000 contextlib.py:491(push)
       14    0.000    0.000    0.003    0.000 pythonapi.py:1377(serialize_uncached)
 1007/848    0.001    0.000    0.003    0.000 ir.py:239(__eq__)
       34    0.000    0.000    0.003    0.000 ssa.py:102(_iterated_domfronts)
       95    0.000    0.000    0.003    0.000 module.py:76(_dispose)
       23    0.000    0.000    0.003    0.000 pythonapi.py:858(gil_ensure)
       52    0.000    0.000    0.003    0.000 transforms.py:90(_populate_function_pm)
      518    0.002    0.000    0.003    0.000 inspect.py:3019(__init__)
    13882    0.003    0.000    0.003    0.000 compiler.py:354(__getattr__)
       79    0.000    0.000    0.003    0.000 module.py:124(name)
       12    0.000    0.000    0.003    0.000 inspect.py:1064(findsource)
       84    0.000    0.000    0.003    0.000 context.py:217(_resolve_builtin_function_type)
     1212    0.001    0.000    0.003    0.000 instructions.py:134(descr_arg)
    13870    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
       27    0.000    0.000    0.003    0.000 packer.py:104(from_arguments)
       35    0.001    0.000    0.003    0.000 interpreter.py:505(peep_hole_call_function_ex_to_call_function_kw)
     4606    0.002    0.000    0.003    0.000 <frozen os>:777(check_str)
       35    0.000    0.000    0.003    0.000 controlflow.py:227(_post_doms)
    10190    0.003    0.000    0.003    0.000 {method 'insert' of 'list' objects}
        9    0.000    0.000    0.003    0.000 builtins.py:876(resolve_getattr)
       27    0.000    0.000    0.003    0.000 codegen.py:569(create_ir_module)
      238    0.001    0.000    0.003    0.000 models.py:709(traverse)
      256    0.002    0.000    0.003    0.000 inspect.py:3123(_bind)
    11445    0.003    0.000    0.003    0.000 {method 'release' of '_thread.RLock' objects}
      456    0.001    0.000    0.003    0.000 types.py:424(wrap_constant_value)
      180    0.000    0.000    0.003    0.000 builder.py:588(icmp_unsigned)
       81    0.000    0.000    0.003    0.000 module.py:176(global_variables)
       35    0.000    0.000    0.002    0.000 controlflow.py:558(_find_post_dominators)
     1800    0.001    0.000    0.002    0.000 tokenize.py:569(_generate_tokens_from_c_tokenizer)
        2    0.000    0.000    0.002    0.001 tupleobj.py:157(iternext_unituple)
       53    0.000    0.000    0.002    0.000 lowering.py:850(normal_handler)
       27    0.000    0.000    0.002    0.000 typed_passes.py:543(run_pass)
        8    0.000    0.000    0.002    0.000 arrayobj.py:326(_getitem_array_single_int)
      138    0.001    0.000    0.002    0.000 interpreter.py:1657(_remove_unused_temporaries)
        1    0.000    0.000    0.002    0.002 setobj.py:1284(getiter_set)
     1025    0.001    0.000    0.002    0.000 builder.py:357(_set_terminator)
       35    0.001    0.000    0.002    0.000 byteflow.py:249(propagate_phi_map)
     1262    0.001    0.000    0.002    0.000 <frozen ntpath>:51(normcase)
     1308    0.001    0.000    0.002    0.000 types.py:121(_to_string)
       36    0.000    0.000    0.002    0.000 bytecode.py:549(from_function)
       45    0.000    0.000    0.002    0.000 base.py:954(get_python_api)
       33    0.000    0.000    0.002    0.000 compiler.py:559(define_nopython_lowering_pipeline)
      861    0.001    0.000    0.002    0.000 byteflow.py:1722(make_temp)
        1    0.000    0.000    0.002    0.002 rangeobj.py:87(getiter_range32_impl)
     3438    0.002    0.000    0.002    0.000 compiler_machinery.py:429(is_registered)
      279    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1349(_find_and_load)
      683    0.001    0.000    0.002    0.000 byteflow.py:1740(append)
      104    0.000    0.000    0.002    0.000 templates.py:163(make_concrete_template)
     8439    0.002    0.000    0.002    0.000 _utils.py:71(_stringify_metadata)
      129    0.001    0.000    0.002    0.000 lowering.py:397(pre_block)
     3190    0.002    0.000    0.002    0.000 values.py:575(function_type)
      134    0.000    0.000    0.002    0.000 context.py:415(_load_builtins)
       66    0.002    0.000    0.002    0.000 ir_utils.py:1563(build_definitions)
     9207    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      199    0.000    0.000    0.002    0.000 cgutils.py:435(add_global_variable)
     1403    0.001    0.000    0.002    0.000 values.py:989(<genexpr>)
      400    0.000    0.000    0.002    0.000 numpy_support.py:327(numpy_outputs)
       45    0.001    0.000    0.002    0.000 pythonapi.py:169(__init__)
       16    0.000    0.000    0.002    0.000 arrayobj.py:97(shape)
       27    0.001    0.000    0.002    0.000 ir_utils.py:2031(raise_on_unsupported_feature)
        2    0.000    0.000    0.002    0.001 numbers.py:189(int_rem_impl)
       33    0.001    0.000    0.002    0.000 untyped_passes.py:304(run_pass)
       12    0.000    0.000    0.002    0.000 models.py:220(from_return)
        2    0.000    0.000    0.002    0.001 numbers.py:129(_int_divmod_impl)
     1158    0.001    0.000    0.002    0.000 warnings.py:184(_add_filter)
       12    0.000    0.000    0.002    0.000 models.py:206(from_data)
      278    0.000    0.000    0.002    0.000 __init__.py:73(import_module)
       38    0.001    0.000    0.002    0.000 analysis.py:580(rewrite_semantic_constants)
     8742    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
     1668    0.002    0.000    0.002    0.000 compiler_machinery.py:385(resolve_requires)
      484    0.001    0.000    0.002    0.000 typeinfer.py:672(_add_refine_map)
       54    0.000    0.000    0.002    0.000 passmanagers.py:49(dump_refprune_stats)
       81    0.000    0.000    0.002    0.000 module.py:237(_dispose)
       10    0.000    0.000    0.002    0.000 models.py:589(from_data)
       19    0.000    0.000    0.002    0.000 models.py:615(from_argument)
       37    0.000    0.000    0.002    0.000 base.py:994(make_data_helper)
      765    0.001    0.000    0.002    0.000 interpreter.py:1850(get)
        1    0.000    0.000    0.002    0.002 rangeobj.py:100(from_range_state)
      138    0.001    0.000    0.002    0.000 byteflow.py:1882(get_outgoing_states)
      461    0.001    0.000    0.002    0.000 utils.py:33(erase_traceback)
     3485    0.001    0.000    0.002    0.000 utils.py:372(key)
     1669    0.001    0.000    0.002    0.000 types.py:27(as_pointer)
      842    0.001    0.000    0.002    0.000 ir.py:1171(define)
      687    0.001    0.000    0.002    0.000 __init__.py:280(_compile)
      114    0.000    0.000    0.002    0.000 values.py:70(wrapped)
        1    0.000    0.000    0.002    0.002 setobj.py:1178(from_set)
      252    0.001    0.000    0.002    0.000 containers.py:347(__repr__)
        6    0.000    0.000    0.002    0.000 consts.py:47(_fail)
       35    0.000    0.000    0.002    0.000 byteflow.py:205(_build_cfg)
    10366    0.002    0.000    0.002    0.000 ffi.py:134(__getattr__)
       68    0.000    0.000    0.002    0.000 module.py:89(get_global_variable)
       41    0.000    0.000    0.002    0.000 templates.py:1023(_resolve)
       34    0.000    0.000    0.002    0.000 controlflow.py:179(dominance_frontier)
        8    0.000    0.000    0.002    0.000 listobj.py:60(_gep)
  630/616    0.000    0.000    0.002    0.000 context.py:699(unify_pairs)
      374    0.000    0.000    0.002    0.000 values.py:452(_to_string)
       25    0.000    0.000    0.002    0.000 context.py:75(free)
     1053    0.001    0.000    0.002    0.000 <frozen ntpath>:179(splitroot)
      228    0.000    0.000    0.002    0.000 __init__.py:10(__getattr__)
        1    0.000    0.000    0.002    0.002 listobj.py:194(setitem)
       54    0.000    0.000    0.002    0.000 packer.py:115(assign_names)
       24    0.000    0.000    0.002    0.000 imputils.py:432(impl_ret_borrowed)
       22    0.000    0.000    0.002    0.000 templates.py:516(_validate_sigs)
  839/328    0.001    0.000    0.002    0.000 ir_utils.py:457(visit_vars_inner)
      732    0.001    0.000    0.002    0.000 templates.py:182(signature)
      808    0.000    0.000    0.002    0.000 base.py:368(insert_func_defn)
      354    0.001    0.000    0.002    0.000 instructions.py:711(descr)
        2    0.000    0.000    0.002    0.001 callwrapper.py:66(emit_cleanup)
       33    0.002    0.000    0.002    0.000 untyped_passes.py:589(run_pass)
      363    0.001    0.000    0.002    0.000 instructions.py:30(descr)
       12    0.000    0.000    0.002    0.000 base.py:675(pair_first)
        1    0.000    0.000    0.002    0.002 setobj.py:1289(iternext_listiter)
     3617    0.001    0.000    0.002    0.000 controlflow.py:96(add_node)
        4    0.000    0.000    0.002    0.000 lowering.py:636(lower_static_raise)
      104    0.001    0.000    0.002    0.000 containers.py:293(__init__)
     5116    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
        4    0.000    0.000    0.002    0.000 lowering.py:159(return_exception)
      216    0.000    0.000    0.002    0.000 packer.py:167(__init__)
       34    0.000    0.000    0.002    0.000 controlflow.py:235(_df)
       23    0.001    0.000    0.002    0.000 codegen.py:1420(set_env)
       35    0.001    0.000    0.002    0.000 dis.py:647(findlabels)
      400    0.001    0.000    0.002    0.000 numpy_support.py:276(supported_ufunc_loop)
       24    0.000    0.000    0.002    0.000 removerefctpass.py:23(_rewrite_function)
      165    0.000    0.000    0.002    0.000 base.py:66(_best_signature)
       12    0.000    0.000    0.002    0.000 base.py:682(pair_second)
      444    0.000    0.000    0.002    0.000 event.py:312(install_listener)
       87    0.000    0.000    0.002    0.000 base.py:510(get_constant)
     2597    0.001    0.000    0.002    0.000 value.py:87(__init__)
       33    0.000    0.000    0.002    0.000 compiler.py:599(define_typed_pipeline)
       34    0.000    0.000    0.002    0.000 controlflow.py:497(_find_dominance_frontier)
       25    0.000    0.000    0.002    0.000 cpu.py:45(create_module)
       29    0.001    0.000    0.002    0.000 options.py:45(_apply)
       34    0.002    0.000    0.002    0.000 {built-in method nt._path_exists}
    12251    0.002    0.000    0.002    0.000 values.py:554(_get_name)
    13578    0.002    0.000    0.002    0.000 builder.py:195(block)
        8    0.000    0.000    0.002    0.000 listobj.py:56(data)
     1280    0.002    0.000    0.002    0.000 errors.py:262(__exit__)
       52    0.000    0.000    0.002    0.000 passmanagers.py:656(add_refprune_pass)
        3    0.000    0.000    0.002    0.001 setobj.py:374(__init__)
       94    0.000    0.000    0.002    0.000 inline_closurecall.py:1488(inline_array)
      147    0.000    0.000    0.002    0.000 module.py:215(_get_metadata_lines)
       70    0.000    0.000    0.002    0.000 textwrap.py:419(dedent)
       25    0.000    0.000    0.002    0.000 cgutils.py:395(alloca_once_value)
      467    0.001    0.000    0.002    0.000 values.py:890(__init__)
        7    0.000    0.000    0.002    0.000 ir_utils.py:396(visit_vars)
       52    0.000    0.000    0.002    0.000 module.py:151(triple)
      127    0.000    0.000    0.002    0.000 base.py:451(insert_unique_const)
      405    0.001    0.000    0.002    0.000 typeof.py:66(_typeof_buffer)
     1434    0.001    0.000    0.002    0.000 ir.py:241(fixup)
      141    0.000    0.000    0.002    0.000 builder.py:858(ret)
      806    0.001    0.000    0.002    0.000 targetconfig.py:69(__init__)
     2560    0.002    0.000    0.002    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
      201    0.000    0.000    0.002    0.000 instructions.py:419(__init__)
      216    0.000    0.000    0.002    0.000 packer.py:170(_build_unflatten_code)
     1675    0.002    0.000    0.002    0.000 cpu_options.py:58(encode)
      467    0.000    0.000    0.002    0.000 values.py:1137(__str__)
        1    0.000    0.000    0.002    0.002 hashing.py:164(impl)
     2560    0.002    0.000    0.002    0.000 {built-in method msvcrt.get_osfhandle}
       68    0.000    0.000    0.002    0.000 targets.py:150(get_pointee_abi_size)
     1025    0.001    0.000    0.002    0.000 values.py:1188(_format_name)
       52    0.000    0.000    0.002    0.000 passmanagers.py:111(_dispose)
      278    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
      157    0.000    0.000    0.002    0.000 ir_utils.py:406(visit_vars_stmt)
       52    0.000    0.000    0.002    0.000 targets.py:268(add_analysis_passes)
       35    0.000    0.000    0.002    0.000 byteflow.py:89(__init__)
      406    0.001    0.000    0.002    0.000 numpy_support.py:332(_ufunc_loop_sig)
        2    0.000    0.000    0.002    0.001 npyimpl.py:661(generate)
     2560    0.002    0.000    0.002    0.000 ansitowin32.py:61(closed)
       24    0.000    0.000    0.002    0.000 transforms.py:10(visit_Function)
       68    0.000    0.000    0.002    0.000 value.py:212(type)
       70    0.000    0.000    0.002    0.000 interpreter.py:2436(op_CALL)
       52    0.000    0.000    0.002    0.000 passmanagers.py:95(create_function_pass_manager)
      395    0.001    0.000    0.002    0.000 ir.py:1209(redefine)
       34    0.000    0.000    0.002    0.000 controlflow.py:231(_idom)
       69    0.001    0.000    0.002    0.000 controlflow.py:512(_find_dominators_internal)
     2068    0.001    0.000    0.002    0.000 byteflow.py:1647(__hash__)
      721    0.000    0.000    0.002    0.000 ssa.py:375(_fix_var)
        5    0.000    0.000    0.002    0.000 listobj.py:34(get_itemsize)
       25    0.000    0.000    0.002    0.000 pythonapi.py:324(err_set_none)
        1    0.000    0.000    0.002    0.002 randomimpl.py:150(get_next_int)
        2    0.000    0.000    0.002    0.001 setobj.py:1170(__init__)
      165    0.001    0.000    0.002    0.000 base.py:83(_sort_signatures)
      808    0.000    0.000    0.002    0.000 base.py:376(_insert_setattr_defn)
     9667    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
       52    0.000    0.000    0.002    0.000 transforms.py:6(create_pass_manager_builder)
     2466    0.001    0.000    0.002    0.000 compiler_machinery.py:28(__exit__)
       34    0.000    0.000    0.002    0.000 controlflow.py:444(_find_immediate_dominators)
      129    0.001    0.000    0.002    0.000 array_exprs.py:33(match)
     2514    0.001    0.000    0.002    0.000 models.py:674(get_field_position)
      808    0.000    0.000    0.002    0.000 base.py:380(_insert_cast_defn)
       52    0.000    0.000    0.002    0.000 passmanagers.py:738(__init__)
     1672    0.001    0.000    0.002    0.000 values.py:875(_to_list)
     1119    0.001    0.000    0.002    0.000 models.py:685(get_type)
      592    0.001    0.000    0.002    0.000 copy.py:252(<genexpr>)
      808    0.000    0.000    0.002    0.000 base.py:372(_insert_getattr_defn)
       29    0.000    0.000    0.002    0.000 cpu.py:291(finalize)
        3    0.000    0.000    0.002    0.001 listobj.py:150(__init__)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       34    0.000    0.000    0.002    0.000 cgutils.py:245(_cast_member_to_value)
     1158    0.001    0.000    0.002    0.000 warnings.py:484(__enter__)
       55    0.000    0.000    0.002    0.000 scalars.py:78(__init__)
      808    0.000    0.000    0.002    0.000 base.py:384(_insert_get_constant_defn)
      296    0.000    0.000    0.002    0.000 typeinfer.py:1114(lock_type)
      297    0.001    0.000    0.002    0.000 transforms.py:15(visit_BasicBlock)
  475/216    0.001    0.000    0.002    0.000 packer.py:175(rec)
        1    0.000    0.000    0.002    0.002 listobj.py:305(get_dtor)
       35    0.000    0.000    0.002    0.000 bytecode.py:316(dump)
       25    0.000    0.000    0.002    0.000 pythonapi.py:1174(bytes_from_string_and_size)
     1510    0.001    0.000    0.002    0.000 ir.py:1100(__init__)
        1    0.000    0.000    0.002    0.002 listobj.py:275(define_dtor)
      296    0.001    0.000    0.002    0.000 models.py:103(traverse_types)
       52    0.000    0.000    0.002    0.000 transforms.py:13(__init__)
     1266    0.001    0.000    0.002    0.000 abstract.py:127(__ne__)
3494/1813    0.001    0.000    0.002    0.000 packer.py:144(rec)
     1872    0.001    0.000    0.002    0.000 controlflow.py:602(push_state)
       30    0.000    0.000    0.002    0.000 pythonapi.py:234(decref)
      328    0.000    0.000    0.002    0.000 types.py:445(elements)
        8    0.000    0.000    0.002    0.000 setobj.py:119(__init__)
        6    0.000    0.000    0.002    0.000 base.py:576(get_getattr)
       25    0.000    0.000    0.002    0.000 pythonapi.py:1367(build_dynamic_excinfo_struct)
        2    0.000    0.000    0.001    0.001 npyimpl.py:739(do_ufunc)
      502    0.001    0.000    0.001    0.000 inspect.py:176(get_annotations)
     2560    0.001    0.000    0.001    0.000 ansitowin32.py:131(get_win32_calls)
       52    0.000    0.000    0.001    0.000 transforms.py:25(opt_level)
       33    0.000    0.000    0.001    0.000 untyped_passes.py:445(run_pass)
      120    0.000    0.000    0.001    0.000 cgutils.py:993(global_constant)
       60    0.000    0.000    0.001    0.000 value.py:165(linkage)
     4658    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
     1188    0.000    0.000    0.001    0.000 npydecl.py:214(<genexpr>)
       27    0.000    0.000    0.001    0.000 targetconfig.py:242(summary)
        2    0.000    0.000    0.001    0.001 tupleobj.py:291(getitem_unituple)
       63    0.001    0.000    0.001    0.000 ir_utils.py:551(remove_dels)
      464    0.000    0.000    0.001    0.000 ir.py:1200(get_or_define)
      930    0.001    0.000    0.001    0.000 builder.py:264(goto_block)
       18    0.000    0.000    0.001    0.000 containers.py:424(__init__)
     8324    0.001    0.000    0.001    0.000 {function TypeVarMap.__getitem__ at 0x00000206C49A8680}
       52    0.000    0.000    0.001    0.000 transforms.py:101(_dispose)
     2522    0.001    0.000    0.001    0.000 analysis.py:138(<genexpr>)
        2    0.000    0.000    0.001    0.001 tupleobj.py:138(getiter_unituple)
      104    0.000    0.000    0.001    0.000 containers.py:303(__new__)
       52    0.000    0.000    0.001    0.000 transforms.py:48(inlining_threshold)
   311/91    0.001    0.000    0.001    0.000 packer.py:123(_assign_names)
     1506    0.001    0.000    0.001    0.000 enum.py:726(__call__)
       20    0.000    0.000    0.001    0.000 cgutils.py:486(for_range)
      388    0.000    0.000    0.001    0.000 typeinfer.py:110(union)
     1183    0.001    0.000    0.001    0.000 dataclasses.py:1301(is_dataclass)
       52    0.000    0.000    0.001    0.000 transforms.py:71(loop_vectorize)
     2466    0.001    0.000    0.001    0.000 compiler_machinery.py:24(__enter__)
       27    0.001    0.000    0.001    0.000 targetconfig.py:272(_make_compression_dictionary)
       25    0.000    0.000    0.001    0.000 pythonapi.py:306(raise_object)
       33    0.000    0.000    0.001    0.000 analysis.py:651(find_literally_calls)
        6    0.000    0.000    0.001    0.000 setobj.py:311(_iterate)
      461    0.001    0.000    0.001    0.000 traceback.py:237(clear_frames)
      506    0.000    0.000    0.001    0.000 ir.py:1141(__deepcopy__)
       52    0.000    0.000    0.001    0.000 transforms.py:83(slp_vectorize)
       27    0.000    0.000    0.001    0.000 targetconfig.py:257(_summary_args)
       70    0.000    0.000    0.001    0.000 byteflow.py:1117(op_CALL)
     1592    0.001    0.000    0.001    0.000 utils.py:485(__setitem__)
       27    0.000    0.000    0.001    0.000 typed_passes.py:193(run_pass)
        3    0.000    0.000    0.001    0.000 listobj.py:63(getitem)
       33    0.000    0.000    0.001    0.000 compiler.py:364(_make_subtarget)
      168    0.000    0.000    0.001    0.000 byteflow.py:1913(__init__)
       69    0.000    0.000    0.001    0.000 analysis.py:304(find_branches)
      101    0.000    0.000    0.001    0.000 base.py:975(get_helper_class)
      117    0.000    0.000    0.001    0.000 cgutils.py:56(create_struct_proxy)
        1    0.000    0.000    0.001    0.001 setobj.py:1203(iternext)
     6005    0.001    0.000    0.001    0.000 {method 'index' of 'tuple' objects}
     1792    0.001    0.000    0.001    0.000 common.py:9(_decode_string)
        2    0.000    0.000    0.001    0.001 listobj.py:214(zfill)
     4124    0.001    0.000    0.001    0.000 {built-in method numba.core.typeconv._typeconv.check_compatible}
     7695    0.001    0.000    0.001    0.000 analysis.py:40(<genexpr>)
       54    0.000    0.000    0.001    0.000 executionengine.py:145(_find_module_ptr)
      758    0.000    0.000    0.001    0.000 bytecode.py:242(_fetch_opcode)
     2249    0.001    0.000    0.001    0.000 byteflow.py:1715(get_inst)
       42    0.000    0.000    0.001    0.000 ssa.py:383(_find_def)
       32    0.000    0.000    0.001    0.000 cgutils.py:145(_get_ptr_by_name)
      159    0.000    0.000    0.001    0.000 typed_passes.py:759(select_template)
       60    0.000    0.000    0.001    0.000 base.py:341(subtarget)
       23    0.000    0.000    0.001    0.000 pythonapi.py:1145(string_from_string)
      418    0.001    0.000    0.001    0.000 itanium_mangler.py:74(repl)
      461    0.000    0.000    0.001    0.000 context.py:408(_get_global_type)
     1917    0.001    0.000    0.001    0.000 ir.py:716(__init__)
       89    0.000    0.000    0.001    0.000 builder.py:539(not_)
        3    0.000    0.000    0.001    0.000 randomimpl.py:110(get_next_int32)
       86    0.000    0.000    0.001    0.000 interpreter.py:2304(op_LOAD_GLOBAL)
     2560    0.001    0.000    0.001    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
        7    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
      516    0.001    0.000    0.001    0.000 inspect.py:748(unwrap)
        6    0.000    0.000    0.001    0.000 listobj.py:44(size)
       87    0.000    0.000    0.001    0.000 pythonapi.py:375(get_c_object)
     1788    0.001    0.000    0.001    0.000 __init__.py:447(_make)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
      823    0.001    0.000    0.001    0.000 typeinfer.py:921(__setitem__)
      758    0.001    0.000    0.001    0.000 bytecode.py:323(<genexpr>)
     1822    0.001    0.000    0.001    0.000 types.py:241(format_constant)
       43    0.000    0.000    0.001    0.000 module.py:79(get_function)
     6604    0.001    0.000    0.001    0.000 ir.py:1333(terminator)
      113    0.000    0.000    0.001    0.000 cgutils.py:44(make_bytearray)
     1158    0.001    0.000    0.001    0.000 warnings.py:505(__exit__)
       53    0.000    0.000    0.001    0.000 base.py:469(get_data_type)
        5    0.000    0.000    0.001    0.000 setobj.py:385(payload)
       86    0.000    0.000    0.001    0.000 byteflow.py:446(op_LOAD_GLOBAL)
      328    0.001    0.000    0.001    0.000 types.py:353(__init__)
      390    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
      120    0.001    0.000    0.001    0.000 transforms.py:293(has_multiple_backedges)
1554/1440    0.001    0.000    0.001    0.000 types.py:127(__eq__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:989(exec_module)
       23    0.000    0.000    0.001    0.000 pythonapi.py:331(err_write_unraisable)
       27    0.000    0.000    0.001    0.000 executionengine.py:84(add_module)
      369    0.000    0.000    0.001    0.000 abstract.py:443(literal_type)
      135    0.001    0.000    0.001    0.000 typeinfer.py:1759(typeof_call)
     2681    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       52    0.001    0.000    0.001    0.000 __init__.py:49(create_string_buffer)
     1280    0.001    0.000    0.001    0.000 errors.py:247(__enter__)
      143    0.000    0.000    0.001    0.000 instructions.py:226(__init__)
        7    0.000    0.000    0.001    0.000 models.py:625(from_return)
       23    0.000    0.000    0.001    0.000 pythonapi.py:870(gil_release)
     8377    0.001    0.000    0.001    0.000 templates.py:49(args)
     2795    0.001    0.000    0.001    0.000 context.py:59(__len__)
       87    0.000    0.000    0.001    0.000 base.py:746(get_c_value)
     6825    0.001    0.000    0.001    0.000 __init__.py:1790(isEnabledFor)
      116    0.000    0.000    0.001    0.000 targetconfig.py:215(inherit_if_not_set)
       30    0.000    0.000    0.001    0.000 builtins.py:815(resolve___call__)
     1816    0.001    0.000    0.001    0.000 builder.py:241(position_at_end)
      152    0.000    0.000    0.001    0.000 byteflow.py:491(op_LOAD_FAST)
      806    0.001    0.000    0.001    0.000 utils.py:250(__init__)
      196    0.000    0.000    0.001    0.000 cgutils.py:446(get_null_value)
       47    0.000    0.000    0.001    0.000 callconv.py:726(_get_try_state)
       81    0.000    0.000    0.001    0.000 callconv.py:774(_return_errcode_raw)
      614    0.000    0.000    0.001    0.000 byteflow.py:1825(has_active_try)
        1    0.000    0.000    0.001    0.001 setobj.py:1129(_imp_dtor)
        2    0.000    0.000    0.001    0.001 numbers.py:119(int_divmod)
      144    0.000    0.000    0.001    0.000 ssa.py:278(on_other)
     1943    0.001    0.000    0.001    0.000 types.py:116(__init__)
        4    0.000    0.000    0.001    0.000 callconv.py:915(fp_zero_division)
        2    0.000    0.000    0.001    0.001 numbers.py:62(int_divmod_signed)
       43    0.000    0.000    0.001    0.000 value.py:169(linkage)
        9    0.000    0.000    0.001    0.000 setobj.py:183(get_entry)
        8    0.000    0.000    0.001    0.000 setobj.py:24(get_payload_struct)
       76    0.000    0.000    0.001    0.000 context.py:62(register)
      236    0.001    0.000    0.001    0.000 misc.py:101(__init__)
      168    0.000    0.000    0.001    0.000 byteflow.py:1604(__init__)
       30    0.000    0.000    0.001    0.000 interpreter.py:2960(_op_JUMP_IF)
      905    0.001    0.000    0.001    0.000 pprint.py:107(__init__)
       27    0.000    0.000    0.001    0.000 executionengine.py:178(_raw_object_cache_notify)
       53    0.000    0.000    0.001    0.000 interpreter.py:2243(op_STORE_FAST)
        3    0.000    0.000    0.001    0.000 setobj.py:35(get_entry_size)
      104    0.000    0.000    0.001    0.000 dispatcher.py:282(nopython_signatures)
        3    0.000    0.000    0.001    0.000 ir_utils.py:348(replace_var_names)
       84    0.000    0.000    0.001    0.000 values.py:672(descr)
     3630    0.001    0.000    0.001    0.000 ffi.py:339(detach)
        5    0.000    0.000    0.001    0.000 cgutils.py:1104(muladd_with_overflow)
      173    0.000    0.000    0.001    0.000 ssa.py:364(on_other)
      856    0.001    0.000    0.001    0.000 analysis.py:200(fix_point_progress)
