GUID,Column Mark No,X,Y,Z Base,Z Top,Type Name,Shape,B,H
6accca90-eacc-4fff-a6b2-b628c2574701-00146de6,,24546.52,-24272,145550,154950,Column Rectangular Precast Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146de7,,45711.52,-2272,26550,29550.11,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146de8,,32406.52,-5172,26550,29150,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146de9,,32406.52,-2272,26550,29550.11,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146dee,,45711.52,-5171.97,40900,44350.03,Column Circular Concrete_HERA22,Circular,850,0
6accca90-eacc-4fff-a6b2-b628c2574701-00146df0,,33361.52,-8825.28,144900,154950,Column Rectangular Precast Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146df1,,33361.52,-13072,146250,154950,Column Rectangular Precast Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146df2,,12651.52,-8825.28,144900,154950,Column Rectangular Precast Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146df3,,12651.52,-13072,146250,154950,Column Rectangular Precast Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146df6,,56416.52,-8072,19980,22400,Column Rectangular Concrete_HERA22,Rectangle,500,500
6accca90-eacc-4fff-a6b2-b628c2574701-00146df7,,63616.52,-12697,22650,26300,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146df8,,63616.52,-12672,26550,29550.13,Column Rectangular Concrete_HERA22,Rectangle,350,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e0a,,56.52,-13372,26550,29550.1,Column Rectangular Concrete_HERA22,Rectangle,600,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e0b,,4666.52,-13372,26550,29550.1,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e0c,,56.52,-21992,26550,29550.1,Column Rectangular Concrete_HERA22,Rectangle,600,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e0d,,4666.52,-21992,26550,29550.1,Column Rectangular Concrete_HERA22,Rectangle,750,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e0e,,4666.52,-27422,26550,29550.1,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e0f,,4666.52,-27422,16200,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e10,,-1083.34,-27422,35550,40500,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e12,,56.52,-13372,13050,15950,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e13,,4666.52,-13372,13050,15950,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e14,,56.52,-22022,13050,15950,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e15,,4666.52,-22022,13050,15950,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e16,,32406.52,-12822,13050,16350.11,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e17,,32406.52,-19742,13050,16350.11,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e18,,12916.52,-19122,13050,16350.11,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e19,,12916.52,-28362,13050,16350.1,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e1a,,21316.52,-28362,13050,16350.1,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e1b,,24006.52,-28362,13050,16350.1,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e1c,,32406.52,-28362,13050,16350.1,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e1d,,51456.42,-12822,13050,16906.39,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e1e,,55116.52,-12822,13050,17165.49,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e1f,,13606.52,-5172,26550,29150,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e20,,13606.52,-2272,26550,29150,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e23,,41856.52,-5172,20250,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e24,,54256.52,-2272,26550,29550.11,Column Rectangular Concrete_HERA22,Rectangle,300,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e25,,54256.52,-5172,26550,29550.11,Column Rectangular Concrete_HERA22,Rectangle,300,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e26,,62906.52,-2272,26550,29550.11,Column Rectangular Concrete_HERA22,Rectangle,300,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e27,,62906.52,-5172,26550,29550.11,Column Rectangular Concrete_HERA22,Rectangle,300,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e28,,54256.52,-2272,13050,16350.07,Column Rectangular Concrete_HERA22,Rectangle,300,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e29,,54256.52,-5172,13050,17129.39,Column Rectangular Concrete_HERA22,Rectangle,300,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e2c,,32406.52,-5172,13050,16350.04,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e2d,,32406.52,-2272,13050,16350.04,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e30,,41856.52,-5172,26550,29550.11,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e31,,4666.52,-27422,13050,15600,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e32,,56.52,-27422,13050,15600,Column Rectangular Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e35,,12916.52,-18972,40900,44350.03,Column Rectangular Precast Concrete_HERA22,Rectangle,500,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e37,,13606.52,-12672,40900,44350.03,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
6accca90-eacc-4fff-a6b2-b628c2574701-00146e39,,32406.52,-13272,40900,44350.03,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
6accca90-eacc-4fff-a6b2-b628c2574701-00146e3c,,32406.52,-20000,40900,44350.03,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
6accca90-eacc-4fff-a6b2-b628c2574701-00146e3d,,13606.52,-5172,13050,15850,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e3e,,13606.52,-2272,13050,15850,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e3f,,45711.52,-5172,13050,16350.17,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e40,,45711.52,-2272,13050,16350.17,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e41,,41856.52,-5172,13050,16350.17,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e43,,56416.52,-12822,19950,22400,Column Rectangular Concrete_HERA22,Rectangle,500,500
6accca90-eacc-4fff-a6b2-b628c2574701-00146e45,,56416.52,-17872,19950,22400,Column Rectangular Concrete_HERA22,Rectangle,500,500
6accca90-eacc-4fff-a6b2-b628c2574701-00146e48,,7406.52,-2272,13050,15850,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e49,,40806.52,-12822,26550,29550.11,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e4a,,43706.52,-12822,26550,29550.11,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e4d,,40806.52,-12822,19550,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e4e,,43706.52,-12822,19550,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e4f,,40806.52,-12822,13050,16350.05,Column Rectangular Concrete_HERA22,Rectangle,800,1000
6accca90-eacc-4fff-a6b2-b628c2574701-00146e50,,43706.52,-12822,13050,16350.05,Column Rectangular Concrete_HERA22,Rectangle,800,1000
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-001577dd,,-583.34,-27422,26550,29150,Column Rectangular Concrete_HERA22,Rectangle,500,2000
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-00157802,,-583.34,-27422,29550,32150,Column Rectangular Concrete_HERA22,Rectangle,500,2000
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-00157838,,-1083.34,-27422,32550,35150,Column Rectangular Concrete_HERA22,Rectangle,500,1000
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-00157c6c,,12916.52,-12922,13050,16350.11,Column Rectangular Concrete_HERA22,Rectangle,800,1000
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-00157e69,,5026.52,-22092,40900,44350.03,Column Rectangular Precast Concrete_HERA22,Rectangle,400,2500
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-00157ef6,,-43.47,-22092,40900,44350.03,Column Rectangular Precast Concrete_HERA22,Rectangle,400,1200
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-00157fc3,,5021.52,-13372,40900,44350.03,Column Rectangular Precast Concrete_HERA22,Rectangle,400,2500
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-00157fc4,,6.53,-13372,40900,44350.03,Column Rectangular Precast Concrete_HERA22,Rectangle,400,1200
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-001580ae,,3016.52,-6872,16000,25950,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-00158ee8,,50556.52,-22122,13050,16350.12,Column Rectangular Concrete_HERA22,Rectangle,500,1000
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-00159309,,21171.52,-25722,40900,44350.03,Column Rectangular Precast Concrete_HERA22,Rectangle,300,2000
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-00159387,,24841.52,-25722,40900,44350.03,Column Rectangular Precast Concrete_HERA22,Rectangle,300,2000
9cd2cbb6-8624-478f-b7a6-79ad6941bc81-00159a8e,,7406.52,-5172,16350,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a0cb,,4666.52,-22022,20049.92,23279.87,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a0cc,,4666.52,-13372,20049.92,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a0da,,4666.52,-22022,23279.87,26300,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a106,,63616.52,-12697,17059.32,19800,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a112,,32406.52,-12822,16350.11,20050.06,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a115,,32406.52,-19742,16350.11,20050.06,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a116,,12916.52,-19122,16350.11,20050.06,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a117,,12916.52,-28362,16350.1,19090,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a11a,,21316.52,-28362,16350.1,19090,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a11b,,24006.52,-28362,16350.1,19090,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a11c,,32406.52,-28362,16350.1,19090,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a11d,,51456.42,-12822,17227.8,19800,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a120,,55116.52,-12822,17486.91,19800,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a122,,54256.52,-2272,16350.07,19950,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a125,,54256.52,-5172,17401.25,19950,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a128,,32406.52,-5172,16350.04,19750,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a12b,,32406.52,-2272,16350.04,19750,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a12d,,45711.52,-5172,16350.17,19835,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a130,,45711.52,-2272,16350.17,19835,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a131,,41856.52,-5172,16350.17,19835,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a132,,7406.52,-2272,16100,26150,Column Rectangular Concrete_HERA22,Rectangle,1000,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a13b,,40806.52,-12822,16350.05,19800,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a13e,,43706.52,-12822,16350.05,19800,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a13f,,12916.52,-12922,16350.11,20050.06,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a140,,50556.52,-22122,16350.12,20050.09,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a144,,63616.52,-20972,17442.71,22640,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a147,,63616.52,-12697,20049.99,22400,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a150,,32406.52,-12822,20050.06,23280.01,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a153,,32406.52,-19742,20050.06,23280.01,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a154,,12916.52,-19122,20050.06,23280.01,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a155,,12916.52,-28362,19390,23030,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a158,,21316.52,-28362,19390,26300,Column Rectangular Concrete_HERA22,Rectangle,600,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a159,,24006.52,-28362,19390,26300,Column Rectangular Concrete_HERA22,Rectangle,600,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a15a,,32406.52,-28362,19390,26300,Column Rectangular Concrete_HERA22,Rectangle,600,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a15b,,51456.42,-12822,20050.09,26300,Column Rectangular Concrete_HERA22,Rectangle,800,1000
