GUID,Column Mark No,X,Y,Z Base,Z Top,Type Name,Shape,B,H
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1ca,,32406.52,-28362,26549.88,29550.01,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1cb,,51456.42,-12822,26549.95,29550.09,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1ce,,55116.52,-12822,26549.95,29550.09,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1cf,,41406.52,-29886.98,26549.88,29550.01,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1d0,,50556.52,-29886.98,26549.88,29550.01,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1d1,,6506.52,-2272,26550,29150,Column Rectangular Concrete_HERA22,Rectangle,1000,2800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1da,,12916.52,-12922,26549.9,29550.03,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1db,,50556.52,-22122,26549.95,29550.1,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1df,,63616.52,-20972,26549.99,29550.14,Column Rectangular Concrete_HERA22,Rectangle,350,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1e2,,45711.52,-5172,29550.11,32549.92,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1e8,,45711.52,-2272,29550.11,32549.92,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1e9,,32406.52,-5172,29550.11,32150,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1ea,,32406.52,-2272,29550.11,32549.92,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1eb,,63616.52,-12672,29550.13,32549.96,Column Rectangular Concrete_HERA22,Rectangle,350,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1ee,,56.52,-13372,29550.1,32549.9,Column Rectangular Concrete_HERA22,Rectangle,600,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1f1,,4666.52,-13372,29550.1,32549.9,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1f2,,56.52,-21992,29550.1,32549.9,Column Rectangular Concrete_HERA22,Rectangle,600,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1f3,,4666.52,-21992,29550.1,32549.9,Column Rectangular Concrete_HERA22,Rectangle,750,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1f4,,4666.52,-27422,29550.1,32549.9,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1f5,,13606.52,-5172,29550.11,32150,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1f6,,13606.52,-2272,29550.11,32549.92,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1f8,,54256.52,-2272,29550.11,32549.91,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1f9,,54256.52,-5172,29550.11,32549.91,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1fa,,62906.52,-2272,29550.11,32549.91,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1fb,,62906.52,-5172,29550.11,32549.91,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1fc,,41856.52,-5172,29550.11,32549.92,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1fd,,40806.52,-12822,29550.11,32549.91,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a200,,43706.52,-12822,29550.11,32549.91,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a204,,23006.52,-5172,29550.06,32150,Column Rectangular Precast Concrete_HERA22,Rectangle,1200,1200
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a20d,,32406.52,-12822,29550.03,32549.86,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a210,,32406.52,-19742,29550.03,32549.86,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a211,,12916.52,-19122,29550.03,32549.86,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a212,,12916.52,-28362,29550.01,32549.83,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a215,,21316.52,-28362,29550.01,32549.83,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a216,,24006.52,-28362,29550.01,32549.83,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a217,,32406.52,-28362,29550.01,32549.83,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a218,,51456.42,-12822,29550.09,32549.94,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a21b,,55116.52,-12822,29550.09,32549.94,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a21c,,41406.52,-29886.98,29550.01,32549.83,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a21d,,50556.52,-29886.98,29550.01,32549.83,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a21e,,5506.52,-2272,29550,32549.91,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a227,,12916.52,-12922,29550.03,32549.86,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a228,,50556.52,-22122,29550.1,32549.95,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a22c,,63616.52,-20972,29550.14,32549.99,Column Rectangular Concrete_HERA22,Rectangle,350,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a22f,,45711.52,-5172,32549.92,35550.03,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a235,,45711.52,-2272,32549.92,35550.03,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a236,,32406.52,-5172,32549.92,35150,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a237,,32406.52,-2272,32549.92,35550.03,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a238,,63616.52,-12672,32549.96,35550.09,Column Rectangular Concrete_HERA22,Rectangle,350,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a23b,,56.52,-13372,32549.9,35550,Column Rectangular Concrete_HERA22,Rectangle,600,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a23e,,4666.52,-13372,32549.9,35550,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a23f,,56.52,-21992,32549.9,35550,Column Rectangular Concrete_HERA22,Rectangle,600,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a240,,4666.52,-21992,32549.9,35550,Column Rectangular Concrete_HERA22,Rectangle,750,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a241,,4666.52,-27422,32549.9,35550,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a242,,13606.52,-5172,32549.92,35150,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a243,,13606.52,-2272,32549.92,35550.03,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a245,,54256.52,-2272,32549.91,35550.01,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a246,,54256.52,-5172,32549.91,35550.01,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a247,,62906.52,-2272,32549.91,35550.01,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a248,,62906.52,-5172,32549.91,35550.01,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a249,,41856.52,-5172,32549.92,35550.03,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a24a,,40806.52,-12822,32549.91,35550.02,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a24d,,43706.52,-12822,32549.91,35550.02,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a251,,23006.52,-5172,32549.92,35150,Column Rectangular Concrete_HERA22,Rectangle,1200,1200
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a257,,32406.52,-12822,32549.86,35550,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a25a,,32406.52,-19742,32549.86,35550,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a25b,,12916.52,-19122,32549.86,35550,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a25c,,12916.52,-28362,32549.83,35549.96,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a25f,,21316.52,-28362,32549.83,35549.96,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a260,,24006.52,-28362,32549.83,35549.96,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a261,,32406.52,-28362,32549.83,35549.96,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a262,,51456.42,-12822,32549.94,35550.08,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a265,,55116.52,-12822,32549.94,35550.08,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a266,,41406.52,-29886.98,32549.83,35549.96,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a267,,50556.52,-29886.98,32549.83,35549.96,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a268,,5506.52,-2272,32549.91,35550.05,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a271,,12916.52,-12922,32549.86,35550,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a272,,50556.52,-22122,32549.95,35550.09,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a276,,63616.52,-20972,32549.99,35550.14,Column Rectangular Concrete_HERA22,Rectangle,350,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a279,,45711.52,-5172,35550.03,40160,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a27f,,45711.52,-2272,35550.03,40510,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a280,,32406.52,-5172,35550.03,40160,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a281,,32406.52,-2272,35550.03,40160,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a282,,63616.52,-12672,35550.09,39850,Column Rectangular Concrete_HERA22,Rectangle,350,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a285,,56.52,-13372,35550,40500,Column Rectangular Concrete_HERA22,Rectangle,600,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a288,,4666.52,-13372,35550,39400,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a289,,56.52,-21992,35550,40500,Column Rectangular Concrete_HERA22,Rectangle,600,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a28a,,4666.52,-21992,35550,40300,Column Rectangular Concrete_HERA22,Rectangle,750,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a28b,,4666.52,-27422,35550,40500,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a28c,,13606.52,-5172,35550.03,40160,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a28d,,13606.52,-2272,35550.03,40160,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a28f,,54256.52,-2272,35550.01,39450,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a290,,54256.52,-5172,35550.01,40510,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a291,,62906.52,-2272,35550.01,39450,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a292,,62906.52,-5172,35550.01,39450,Column Rectangular Concrete_HERA22,Rectangle,300,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a293,,41856.52,-5172,35550.03,39260,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a294,,40806.52,-12822,35550.02,39260,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a297,,43706.52,-12822,35550.02,39260,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a29b,,23006.52,-5172,35550.09,40160,Column Rectangular Concrete_HERA22,Rectangle,1200,1200
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2a1,,32406.52,-12822,35550,40300,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2a4,,32406.52,-19742,35550,39260,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2a5,,12916.52,-19122,35550,39260,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2a6,,12916.52,-28362,35549.96,39260,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2a9,,21316.52,-28362,35549.96,40160,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2aa,,24006.52,-28362,35549.96,40160,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2ab,,32406.52,-28362,35549.96,39260,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2ac,,51456.42,-12822,35550.08,39260,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2af,,55116.52,-12822,35550.08,39260,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2b0,,41406.52,-29886.98,35549.96,40160,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2b1,,50556.52,-29886.98,35549.96,39850,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2b2,,5506.52,-2272,35550.05,40160,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2bb,,12916.52,-12922,35550,39260,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2bc,,50556.52,-22122,35550.09,39260,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2c0,,63616.52,-20972,35550.14,39850,Column Rectangular Concrete_HERA22,Rectangle,350,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2d6,,50540.62,-27467.5,44349.93,47799.96,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2d9,,5506.52,-2272,44350.03,47800.06,Column Circular Concrete_HERA22,Circular,750,0
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2dc,,-1088.46,-27440.91,44350.03,47800.05,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2df,,4710.8,-27414.36,44350.03,47800.05,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2e0,,12922.57,-27412.36,44350.03,47800.05,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2e1,,40812.08,-27414.09,44350.03,47800.05,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2e2,,32397.75,-27408.56,44350.03,47800.05,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2e6,,45711.52,-5171.97,44350.03,47800.06,Column Circular Concrete_HERA22,Circular,850,0
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2e7,,12916.52,-18972,44350.03,47800.06,Column Rectangular Precast Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2ed,,13606.52,-12672,44350.03,47800.06,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2f1,,32406.52,-13272,44350.03,47800.06,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2f8,,32406.52,-20000,44350.03,47800.06,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2fa,,5021.52,-22092,44350.03,47800.06,Column Rectangular Precast Concrete_HERA22,Rectangle,400,2500
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a2fd,,-43.47,-22092,44350.03,47800.06,Column Rectangular Precast Concrete_HERA22,Rectangle,400,1200
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a300,,5021.52,-13372,44350.03,47800.06,Column Rectangular Precast Concrete_HERA22,Rectangle,400,2500
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a301,,6.53,-13372,44350.03,47800.06,Column Rectangular Precast Concrete_HERA22,Rectangle,400,1200
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a305,,21171.52,-25722,44350.03,47800.05,Column Rectangular Precast Concrete_HERA22,Rectangle,300,2000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a308,,24841.52,-25722,44350.03,47800.05,Column Rectangular Precast Concrete_HERA22,Rectangle,300,2000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a30c,,50540.62,-27467.5,47799.96,51249.99,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a30f,,5506.52,-2272,47800.06,51250.09,Column Circular Concrete_HERA22,Circular,750,0
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a312,,-1088.46,-27440.91,47800.05,51250.08,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a315,,4710.8,-27414.36,47800.05,51250.08,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a316,,12922.57,-27412.36,47800.05,51250.08,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a317,,40812.08,-27414.09,47800.05,51250.08,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a318,,32397.75,-27408.56,47800.05,51250.08,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a31c,,45711.52,-5171.97,47800.06,51250.09,Column Circular Concrete_HERA22,Circular,850,0
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a31d,,12916.52,-18972,47800.06,51250.09,Column Rectangular Precast Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a323,,13606.52,-12672,47800.06,51250.1,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a327,,32406.52,-13272,47800.06,51250.1,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a32e,,32406.52,-20000,47800.06,51250.09,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a330,,5021.52,-22092,47800.06,51250.09,Column Rectangular Precast Concrete_HERA22,Rectangle,400,2500
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a333,,-43.47,-22092,47800.06,51250.09,Column Rectangular Precast Concrete_HERA22,Rectangle,400,1200
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a336,,5021.52,-13372,47800.06,51250.09,Column Rectangular Precast Concrete_HERA22,Rectangle,400,2500
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a337,,6.53,-13372,47800.06,51250.09,Column Rectangular Precast Concrete_HERA22,Rectangle,400,1200
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a33b,,21171.52,-25722,47800.05,51250.08,Column Rectangular Precast Concrete_HERA22,Rectangle,300,2000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a33e,,24841.52,-25722,47800.05,51250.08,Column Rectangular Precast Concrete_HERA22,Rectangle,300,2000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a342,,50540.62,-27467.5,51249.99,54700.02,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a345,,5506.52,-2272,51250.09,54700.12,Column Circular Concrete_HERA22,Circular,750,0
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a348,,-1088.46,-27440.91,51250.08,54700.1,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a34b,,4710.8,-27414.36,51250.08,54700.1,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a34c,,12922.57,-27412.36,51250.08,54700.1,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a34d,,40812.08,-27414.09,51250.08,54700.1,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a34e,,32397.75,-27408.56,51250.08,54700.1,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a352,,45711.52,-5171.97,51250.09,54700.12,Column Circular Concrete_HERA22,Circular,850,0
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a353,,12916.52,-18972,51250.09,54700.12,Column Rectangular Precast Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a359,,13606.52,-12672,51250.1,54700.13,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a35d,,32406.52,-13272,51250.1,54700.13,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a364,,32406.52,-20000,51250.09,54700.12,Column Rectangular Precast Concrete_HERA22,Rectangle,300,1800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a366,,5021.52,-22092,51250.09,54700.12,Column Rectangular Precast Concrete_HERA22,Rectangle,400,2500
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a369,,-43.47,-22092,51250.09,54700.12,Column Rectangular Precast Concrete_HERA22,Rectangle,400,1200
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a36c,,5021.52,-13372,51250.09,54700.12,Column Rectangular Precast Concrete_HERA22,Rectangle,400,2500
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a36d,,6.53,-13372,51250.09,54700.12,Column Rectangular Precast Concrete_HERA22,Rectangle,400,1200
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a371,,21171.52,-25722,51250.08,54700.1,Column Rectangular Precast Concrete_HERA22,Rectangle,300,2000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a374,,24841.52,-25722,51250.08,54700.1,Column Rectangular Precast Concrete_HERA22,Rectangle,300,2000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a378,,50540.62,-27467.5,54700.02,58149.74,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a37b,,5506.52,-2272,54700.12,58149.84,Column Circular Concrete_HERA22,Circular,750,0
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a37e,,-1088.46,-27440.91,54700.1,58149.83,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a381,,4710.8,-27414.36,54700.1,58149.83,Column Rectangular Precast Concrete_HERA22,Rectangle,450,800
