,NAME,PROPNAME,STORY,X,Y,POINT 2X,POINT 2Y,Label,Z Base,Level,ret,Section
566,5531,CC_800x450_N50,L15,17.687,-14.74,71.95,17.687,C138,75.4,L15,0,CC_800x450_N50
567,5532,CC_800x450_N50,L15,27.423000000000002,-14.74,71.95,27.423000000000002,C139,75.4,L15,0,CC_800x450_N50
568,5643,CC_750DIA_N65,L13,-17.902,10.4,65.05,-17.902,C127,68.5,L13,0,CC_750DIA_N65
569,5644,CC_750DIA_N65,L13,18.85,10.4,65.05,18.85,C97,68.5,L13,0,CC_750DIA_N65
570,5646,CC_1000x500_N80,L13,-10.09,-6.2,65.05,-10.09,C123,68.5,L13,0,CC_1000x500_N80
571,5647,CC_1200x400_N80,L13,-22.909966666666666,-9.35,65.05,-22.909966666666666,C118,68.5,L13,0,CC_1200x400_N80
572,5648,CC_1200x400_N80,L13,-22.909966666666666,-0.7,65.05,-22.909966666666666,C103,68.5,L13,0,CC_1200x400_N80
573,5649,CC_800x450_N50,L13,-18.296,-14.739,65.05,-18.296,C134,68.5,L13,0,CC_800x450_N50
574,5650,CC_800x450_N50,L13,-24.085,-14.753,65.05,-24.085,C135,68.5,L13,0,CC_800x450_N50
575,5651,CC_800x450_N50,L13,-10.083,-14.758000000000001,65.05,-10.083,C136,68.5,L13,0,CC_800x450_N50
576,5652,CC_800x450_N50,L13,9.153,-14.74,65.05,9.153,C137,68.5,L13,0,CC_800x450_N50
577,5653,CC_800x450_N50,L13,17.687,-14.74,65.05,17.687,C138,68.5,L13,0,CC_800x450_N50
578,5654,CC_800x450_N50,L13,27.423000000000002,-14.74,65.05,27.423000000000002,C139,68.5,L13,0,CC_800x450_N50
579,5765,CC_750DIA_N65,L11,-17.902,10.4,58.15,-17.902,C127,61.6,L11,0,CC_750DIA_N65
580,5766,CC_750DIA_N65,L11,18.85,10.4,58.15,18.85,C97,61.6,L11,0,CC_750DIA_N65
581,5768,CC_1000x500_N80,L11,-10.09,-6.2,58.15,-10.09,C123,61.6,L11,0,CC_1000x500_N80
582,5769,CC_1200x400_N80,L11,-22.909966666666666,-9.35,58.15,-22.909966666666666,C118,61.6,L11,0,CC_1200x400_N80
583,5770,CC_1200x400_N80,L11,-22.909966666666666,-0.7,58.15,-22.909966666666666,C103,61.6,L11,0,CC_1200x400_N80
584,5771,CC_800x450_N50,L11,-18.296,-14.739,58.15,-18.296,C134,61.6,L11,0,CC_800x450_N50
585,5772,CC_800x450_N50,L11,-24.085,-14.753,58.15,-24.085,C135,61.6,L11,0,CC_800x450_N50
586,5773,CC_800x450_N50,L11,-10.083,-14.758000000000001,58.15,-10.083,C136,61.6,L11,0,CC_800x450_N50
587,5774,CC_800x450_N50,L11,9.153,-14.74,58.15,9.153,C137,61.6,L11,0,CC_800x450_N50
588,5775,CC_800x450_N50,L11,17.687,-14.74,58.15,17.687,C138,61.6,L11,0,CC_800x450_N50
589,5776,CC_800x450_N50,L11,27.423000000000002,-14.74,58.15,27.423000000000002,C139,61.6,L11,0,CC_800x450_N50
590,5887,CC_750DIA_N65,L9,-17.902,10.4,51.25,-17.902,C127,54.7,L9,0,CC_750DIA_N65
591,5888,CC_750DIA_N65,L9,18.85,10.4,51.25,18.85,C97,54.7,L9,0,CC_750DIA_N65
592,5890,CC_1000x500_N80,L9,-10.09,-6.2,51.25,-10.09,C123,54.7,L9,0,CC_1000x500_N80
593,5891,CC_1200x400_N80,L9,-22.909966666666666,-9.35,51.25,-22.909966666666666,C118,54.7,L9,0,CC_1200x400_N80
594,5892,CC_1200x400_N80,L9,-22.909966666666666,-0.7,51.25,-22.909966666666666,C103,54.7,L9,0,CC_1200x400_N80
595,5893,CC_800x450_N50,L9,-18.296,-14.739,51.25,-18.296,C134,54.7,L9,0,CC_800x450_N50
596,5894,CC_800x450_N50,L9,-24.085,-14.753,51.25,-24.085,C135,54.7,L9,0,CC_800x450_N50
597,5895,CC_800x450_N50,L9,-10.083,-14.758000000000001,51.25,-10.083,C136,54.7,L9,0,CC_800x450_N50
598,5896,CC_800x450_N50,L9,9.153,-14.74,51.25,9.153,C137,54.7,L9,0,CC_800x450_N50
599,5897,CC_800x450_N50,L9,17.687,-14.74,51.25,17.687,C138,54.7,L9,0,CC_800x450_N50
600,5898,CC_800x450_N50,L9,27.423000000000002,-14.74,51.25,27.423000000000002,C139,54.7,L9,0,CC_800x450_N50
601,506,CC_1000x500_N80,MEZZ,0.0,11.35,20.05,0.0,C116,23.28,MEZZ,0,CC_1000x500_N80
